gbifID,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,day,month,year
936887615,IN-KA-near Kotthipura-12.7480x77.2995 -0914,Karnataka,1.0,12.748049,77.29945,21,1,2013
936869623,IN-KA-near Kotthipura-12.7475x77.2998 -0706,Karnataka,1.0,12.74748,77.29984,21,1,2013
935294791,Bharatpur--Keoladeo Ghana NP,Rajasthan,1.0,27.161905,77.5228,5,12,2006
934736800,Ramanagara,Karnataka,2.0,12.752194,77.30145,13,8,2012
832734584,Bharatpur--Keoladeo Ghana NP,Rajasthan,1.0,27.161905,77.5228,20,3,2012
831720708,Ramanagra,Karnataka,5.0,12.74761,77.299,5,2,2012
831572863,Ramanagra,Karnataka,9.0,12.74761,77.299,3,8,2012
829727415,Bharatpur--Keoladeo Ghana NP,Rajasthan,,27.161905,77.5228,17,1,2011
829725193,Kanha Tiger Reserve,Madhya Pradesh,,22.29545,80.5957,6,1,2011
829619928,Ranthambore NP,Rajasthan,,26.012978,76.503296,12,6,2010
829472064,Pench National Park,Madhya Pradesh,2.0,22.070745,79.84524,7,12,2007
829462523,Ranthambore NP,Rajasthan,,26.012978,76.503296,27,3,2007
829382173,Ranthambore NP--entry road & fort,Rajasthan,4.0,26.034689,76.43815,11,3,2006
829380520,Ranthambore NP,Rajasthan,10.0,26.012978,76.503296,12,3,2006
829378526,Bharatpur--Keoladeo Ghana NP,Rajasthan,2.0,27.161905,77.5228,8,3,2006
829368568,Soorwal Lake,Rajasthan,3.0,26.080872,76.34016,13,3,2006
829245657,Ranthambore NP--entry road & fort,Rajasthan,,26.034689,76.43815,4,2,2004
589823640,Bayana Cliffs,Rajasthan,,26.906763,77.270966,14,1,2011
589822605,Ranthambhore,Rajasthan,,26.020384,76.493,7,1,2011
589756402,Ranthambhore,Rajasthan,,26.020384,76.493,10,1,2011
589753887,Ranthambhore,Rajasthan,,26.020384,76.493,9,1,2011
589690534,Ranthambhore,Rajasthan,,26.020384,76.493,8,1,2011
588573136,Ranthambore NP--entry road & fort,Rajasthan,,26.034689,76.43815,1,2,2010
588548221,Ranthambore NP--entry road & fort,Rajasthan,,26.034689,76.43815,2,2,2010
588246686,Bharatpur--Keoladeo Ghana NP,Rajasthan,1.0,27.161905,77.5228,2,2,2009
588242928,Ranthambore NP,Rajasthan,8.0,26.012978,76.503296,30,1,2009
588238984,Ranthambore NP,Rajasthan,1.0,26.012978,76.503296,28,1,2009
588234436,Jodhpur (city and fort),Rajasthan,1.0,26.303186,73.02169,24,11,2009
588192103,Ranthambore NP,Rajasthan,1.0,26.012978,76.503296,29,1,2009
587941294,Bandhavgarh NP,Madhya Pradesh,1.0,23.690413,81.01825,3,4,2006
587908914,Bandhavgarh NP,Madhya Pradesh,,23.690413,81.01825,18,4,2005
587900904,Bandhavgarh NP,Madhya Pradesh,,23.690413,81.01825,17,4,2005
587840595,Nandi Hills,Karnataka,,13.36996,77.683174,28,11,2004
587702652,Ranthambore NP--entry road & fort,Rajasthan,1.0,26.034689,76.43815,26,3,2001
587700141,Ranthambore NP,Rajasthan,1.0,26.012978,76.503296,24,3,2001
587698087,Ranthambore NP--entry road & fort,Rajasthan,1.0,26.034689,76.43815,26,3,2001
587697873,Ranthambore NP--entry road & fort,Rajasthan,1.0,26.034689,76.43815,26,3,2001
587695769,Ranthambore NP,Rajasthan,1.0,26.012978,76.503296,24,3,2001
5716300416,"Panna Tiger Reserv, Madhya Pradesh, IN (24.737, 80.005)",Madhya Pradesh,2.0,24.736553,80.005135,5,3,2022
5716226174,Kanha NP--Mukki Zone,Madhya Pradesh,2.0,22.158897,80.66334,7,6,2024
5716156963,"Madhya Pradesh State Highway 31A, Chittauriya, Madhya Pradesh, IN (24.705, 75.551)",Madhya Pradesh,25.0,24.704668,75.550896,13,2,2021
5716124772,Kodanadu -Kothagiri Road,Tamil Nadu,1.0,11.524553,76.915535,10,9,2018
5716117962,"Route back to Madhai camp, Satpura National Park, Hoshangabad IN-MP (22.5400,78.0839)",Madhya Pradesh,3.0,22.539967,78.0839,27,2,2022
5716057652,Pashan Garh,Madhya Pradesh,26.0,24.672956,80.17678,2,2,2022
5716027312,"Mahuva, Gujarat, IN (21.084, 71.776)",Gujarat,7.0,21.09182,71.791756,23,1,2022
5715785574,Near Parsapani Forest Camp,Madhya Pradesh,1.0,22.599398,78.0318,3,2,2019
5715724843,"(22.4810,78.5051)",Madhya Pradesh,4.0,22.481,78.50508,19,10,2018
5715720930,"Junagadh, Gujarat, IN (21.171, 70.6)",Gujarat,1.0,21.17055,70.600105,12,4,2024
5715618194,Sonbhadra Ramsahi,Madhya Pradesh,16.0,22.504766,78.18663,3,3,2021
5715026784,"Golf View Resort, Pachmarhi",Madhya Pradesh,3.0,22.455633,78.425446,16,2,2020
5714969671,Ranthambore NP--Zone 2,Rajasthan,5.0,26.007303,76.46159,15,1,2024
5714894055,Menar Wetland,Rajasthan,4.0,24.594599,74.10926,13,1,2020
5714685597,Sonbhadra Ramsahi,Madhya Pradesh,16.0,22.504766,78.18663,3,3,2021
5714175253,Mukki,Madhya Pradesh,2.0,22.297737,80.58531,30,6,2024
5713766638,Pachmarhi--Overall,Madhya Pradesh,1.0,22.46436,78.42446,24,3,2017
5713726247,Ranthambore TP--Zone 10,Rajasthan,8.0,25.936455,76.39901,23,12,2024
5713623326,Bandhavgarh NP,Madhya Pradesh,6.0,23.690413,81.01825,7,1,2022
5713541615,Bandhavgarh Tiger Reserve--Khitauli Gate,Madhya Pradesh,7.0,23.699034,80.97598,23,3,2019
5713458247,Rani Durgawati WLS,Madhya Pradesh,14.0,23.534588,79.74788,31,12,2015
5713321204,"Bayana Cliffs, Bharatpur",Rajasthan,40.0,26.8942,77.27815,7,9,2024
5713313298,India - Ranthambore,Rajasthan,,26.012053,76.50673,23,1,2002
5713189820,"Rori Ghat Forest Camp, Madhya Pradesh",Madhya Pradesh,6.0,22.42931,78.356895,3,3,2021
5713169236,Auto selected,Madhya Pradesh,10.0,24.62984,75.72596,12,3,2022
5713131943,Bandhavgarh Tiger Reserve--Khitauli Gate,Madhya Pradesh,7.0,23.699034,80.97598,23,3,2019
5713120716,"Hinglajgarh, Madhya Pradesh, IN (24.659, 75.776)",Madhya Pradesh,2.0,24.659086,75.77577,23,2,2019
5713056241,Bashir Greenhouse Nursery Nara beyt,Gujarat,7.0,24.400957,71.12131,17,2,2021
5712874862,Bandhavgarh NP,Madhya Pradesh,6.0,23.690413,81.01825,7,6,2017
5712776891,Aramness Gir,Gujarat,1.0,21.155298,70.55771,22,12,2024
5712610474,"Monsoon Jungle Lodge, Bhandhavgarh",Madhya Pradesh,,23.735779,81.015945,23,2,2024
5712598938,"Ken River and it Valley, Madla, Panna National Park",Madhya Pradesh,4.0,24.648254,79.95802,26,4,2024
5712578439,Kanha,Madhya Pradesh,1.0,22.20502,80.65625,24,2,2024
5712540924,Ranthambore NP--Zone 2,Rajasthan,2.0,26.007303,76.46159,19,3,2019
5712486785,Ramdevarabetta upper right trail,Karnataka,2.0,12.749714,77.305244,6,10,2024
5712483738,Girnar Forest--Velnath,Gujarat,26.0,21.52815,70.5214,20,12,2015
5712373737,"Jamoonya, Rajasthan, IN (25.06, 75.721)",Rajasthan,15.0,25.059765,75.72118,6,10,2024
5712287427,Gandhisagar Sanctuary,Madhya Pradesh,18.0,24.655005,75.53272,13,2,2021
5711995979,Ranthambore NP--Zone 6,Rajasthan,3.0,25.979559,76.37622,26,3,2024
5711729883,"Chambal River, Kota IN-RJ 25.14401, 75.77659",Rajasthan,7.0,25.144007,75.776596,21,11,2021
5711496980,"Ramdevara Betta, Ramanagara",Karnataka,2.0,12.752204,77.3003,25,4,2016
5711495823,Kanha NP--Mukki Zone,Madhya Pradesh,7.0,22.158897,80.66334,31,1,2024
5711284297,"Rampura Pathar , Forest RestHouse , Karanpura Block, Madhya Pradesh, IN (24.695, 75.553)",Madhya Pradesh,2.0,24.694767,75.55292,12,2,2021
5711198773,Desert NP--Sam to Sudasari Road,Rajasthan,1.0,26.763712,70.54364,8,10,2022
5711195253,Khajuraho Temples,Madhya Pradesh,4.0,24.853197,79.92026,21,1,2007
5711093819,Madai mudflats,Madhya Pradesh,2.0,22.570744,78.144585,6,2,2020
5711078930,Ranthambore NP,Rajasthan,3.0,26.012978,76.503296,17,2,2014
5711045932,"Ramdevara Betta, Ramanagara",Karnataka,1.0,12.752204,77.3003,11,12,2018
5710972212,Bhimbetka rock shelters,Madhya Pradesh,1.0,22.939583,77.612404,10,4,2024
5710849848,"Madhya Pradesh, IN (22.551, 78.155)",Madhya Pradesh,3.0,22.55104,78.155266,3,2,2019
5710654878,Gandhisagar Forest Resthouse,Madhya Pradesh,2.0,24.694136,75.55112,10,3,2023
5710626022,Bandhavgarh NP,Madhya Pradesh,4.0,23.690413,81.01825,12,1,2024
5710474994,Tansa Wildlife Sanctuary,Maharashtra,1.0,19.569614,73.2831,21,5,2016
5710364371,Gandhisagar WLS--Hinglajgarh,Madhya Pradesh,2.0,24.652878,75.770256,11,9,2022
5710251111,"Jotkheda, Madhya Pradesh, IN (23.123, 79.239)",Madhya Pradesh,1.0,23.123434,79.23941,14,1,2023
5710216876,Kanha NP--Kisli Zone,Madhya Pradesh,2.0,22.298626,80.55058,19,5,2022
5710206735,Pench Tiger Reserve--Turia Zone,Madhya Pradesh,3.0,21.739643,79.33436,4,6,2016
5710046311,Out skirts Kota,Rajasthan,2.0,25.119486,75.72533,1,3,2017
5710021734,"Bichhiya, Mandla IN-MP 22.36809, 80.65316",Madhya Pradesh,5.0,22.368088,80.65316,17,2,2024
5710014101,Kanha NP--Mukki Zone,Madhya Pradesh,17.0,22.158897,80.66334,20,4,2024
5709979952,Garadia Mahadev Temple,Rajasthan,1.0,25.117466,75.72897,26,1,2024
5709894076,"Shubhas Road, Pachmarhi, Madhya Pradesh, IN (22.473, 78.436)",Madhya Pradesh,2.0,22.473059,78.43562,26,4,2020
5709872385,Sagron Ki Basti,Rajasthan,1.0,26.794184,70.50554,8,1,2023
5709853778,Kanha NP--Kisli Zone,Madhya Pradesh,1.0,22.298626,80.55058,14,6,2024
5709851035,Bejjur Reserved Forest,Telangana,3.0,19.321247,79.82941,12,1,2020
5709824385,Kuno National Park--Durrendi Forest Camp,Madhya Pradesh,3.0,25.741611,77.1372,1,3,2024
5709805319,RANI DURGAWATI WILDLIFE SANCTURY,Madhya Pradesh,1.0,23.546673,79.72902,28,1,2018
5709803103,Kanha NP--Mukki Zone,Madhya Pradesh,7.0,22.158897,80.66334,6,4,2024
5709580315,"Satpura National Park, Hoshangabad IN-MP 22.52216, 78.04747",Madhya Pradesh,2.0,22.522158,78.04747,4,3,2021
5709551981,Dhondhbar,Maharashtra,2.0,19.744915,73.86596,1,2,2020
5709524521,Ranthambhore NP--Zone 5,Rajasthan,2.0,26.06993,76.48518,12,1,2024
5709415540,"Chittauriya, Rajasthan, IN (24.705, 75.551).",Rajasthan,21.0,24.704678,75.55108,2,3,2024
5709363639,Reserve forest behind GIZ-Devaliya,Gujarat,5.0,21.140448,70.49536,13,4,2024
5709350409,"Unnamed Road, Bisanpura, Madhya Pradesh, IN (22.21, 80.595)",Madhya Pradesh,18.0,22.210224,80.594955,20,11,2024
5709317042,Pench Tiger Reserve--Turia Zone,Madhya Pradesh,20.0,21.739643,79.33436,23,2,2019
5709216731,Polo Forest Vijaynagar  IN-Gujarat-Abhapur -Sabarkatha 24.01x73.29 - 29-May-2016 05:30 AN,Gujarat,62.0,24.010063,73.290306,29,5,2016
5709176931,"Rawatbhata, Rajasthan",Rajasthan,15.0,24.930498,75.59145,18,12,2017
5709057865,Ranthambore NP,Rajasthan,2.0,26.012978,76.503296,6,10,2009
5708895590,Ranthambhore NP--Zone 3,Rajasthan,1.0,26.02987,76.47235,1,10,2016
5708843964,"Tawa Reservoir, Hoshangabad IN-Madhya Pradesh (22.5647,78.1654)",Madhya Pradesh,1.0,22.564663,78.16536,24,1,2019
5708786524,Ranthambore NP--Zone 2,Rajasthan,5.0,26.007303,76.46159,9,2,2024
5708762961,"Singoregarh, Madhya Pradesh, IN (23.524, 79.726)",Madhya Pradesh,7.0,23.52371,79.72646,11,9,2018
5708710618,zzIND_Bandav Vilas,Madhya Pradesh,2.0,23.59995,81.01908,25,11,2012
5708641165,Kanha Tiger Reserve,Madhya Pradesh,4.0,22.29545,80.5957,17,3,2017
5708618307,Bayana area,Rajasthan,,26.891684,77.27706,24,12,2015
5708430450,"Banjar River, near Mukki Gate",Madhya Pradesh,1.0,22.144562,80.66587,25,2,2024
5708321460,Hazaribagh Pinjrapole Gaushala,Jharkhand,1.0,23.963,85.426,23,3,2024
5708290376,Ranthambore NP,Rajasthan,,26.012978,76.503296,5,12,2018
5708189813,Nauradehi WLS Bina Guest House,Madhya Pradesh,3.0,23.368004,79.17147,12,1,2024
5707920489,"Unnamed Road, Sasan, Gujarat, IN (21.174, 70.601)",Gujarat,1.0,21.173988,70.600784,7,2,2023
5707917788,Bund Baretha WLS,Rajasthan,4.0,26.884106,77.368126,5,4,2018
5707894069,"Chauragarh, Panchmadhi; STR Madhya Pradesh, IN (22.403, 78.431)",Madhya Pradesh,4.0,22.403412,78.43111,3,2,2019
5707762249,Bagchach Nala,Madhya Pradesh,8.0,24.72422,75.71663,2,3,2024
5707760000,"Halali Lake, near Nagaon Village.",Madhya Pradesh,1.0,23.466105,77.51401,5,2,2017
5707675276,"Madhya Pradesh, IN (22.468, 78.389)",Madhya Pradesh,14.0,22.468452,78.38892,17,12,2019
5707540394,"Unnamed Road, Madhya Pradesh, IN (22.335, 80.601)",Madhya Pradesh,9.0,22.33536,80.600945,21,2,2021
5707534127,Kanha NP--Mukki Zone,Madhya Pradesh,2.0,22.158897,80.66334,21,5,2024
5707207570,Forsyth Lodge,Madhya Pradesh,1.0,22.58632,78.14224,15,2,2021
5707109733,Bandhavgarh Tiger Reserve--Khitauli Gate,Madhya Pradesh,10.0,23.699034,80.97598,20,2,2024
5706948754,Keoladeo national park,Rajasthan,1.0,27.203424,77.50683,2,12,2017
5706931297,Kanha NP--Mukki Zone,Madhya Pradesh,8.0,22.158897,80.66334,17,4,2024
5706872561,"Unnamed Road, Pipartola, Madhya Pradesh, IN (24.625, 79.972)",Madhya Pradesh,4.0,24.625257,79.97189,5,3,2022
5706795762,"Bandhavgarh National Park, Umaria IN-MP 23.83721, 81.06495",Madhya Pradesh,1.0,23.83721,81.06495,5,1,2024
5706616102,Jorbeer Vulture Conservation Centre,Rajasthan,1.0,27.9659,73.37647,24,11,2022
5706406014,"Hinglajgarh, Madhya Pradesh, IN (24.651, 75.765)",Madhya Pradesh,6.0,24.651342,75.76529,23,2,2019
5706257193,Kanha Tiger Reserve,Madhya Pradesh,1.0,22.29545,80.5957,20,2,2021
5706150569,"Uchad, Datia",Madhya Pradesh,12.0,25.88264,78.44106,27,9,2019
5706118177,Jorbeer Vulture Conservation Centre,Rajasthan,1.0,27.9659,73.37647,24,11,2022
5705981670,"Madhya Pradesh, IN (22.559, 78.342)",Madhya Pradesh,1.0,22.559286,78.34218,26,2,2022
5705952867,Gwalior Fort,Madhya Pradesh,13.0,26.229395,78.16944,8,9,2024
5705890368,Rani Durgawati WLS,Madhya Pradesh,12.0,23.534588,79.74788,27,10,2018
5705701398,"Beherawali—Satpura National Park, Hoshangabad IN-MP 22.46743, 78.35346",Madhya Pradesh,2.0,22.46743,78.353455,3,3,2021
5705469455,"Madhya Pradesh, IN (22.499, 78.443)",Madhya Pradesh,1.0,22.499062,78.443436,18,5,2019
5705435616,"Eklingji - Delwara Road, Eklingji, Rajasthan, IN (24.75, 73.722)",Rajasthan,7.0,24.749846,73.721924,28,12,2020
5705423034,Vazaithottam Checkpost,Tamil Nadu,2.0,11.530684,76.70379,6,7,2019
5705358535,Kanha NP--Mukki Zone,Madhya Pradesh,3.0,22.158897,80.66334,6,2,2024
5705338779,Ranthambore NP--entry road & fort,Rajasthan,1.0,26.034689,76.43815,11,2,2024
5705196224,"Dhamokhar, Bandhavgarh Tiger Reserve",Madhya Pradesh,1.0,23.652946,80.93561,4,1,2024
5705178111,"Denwa Backwater Escape And Around, Sarangpur, Narmadapuram Madhya Pradesh, IN (22.582, 78.137)",Madhya Pradesh,9.0,22.582273,78.137,13,1,2024
5705079437,Kodanadu -Kothagiri Road,Tamil Nadu,1.0,11.524553,76.915535,10,9,2018
5705043392,Boodanatham and Moyar,Tamil Nadu,1.0,11.602165,76.70226,5,5,2018
5705000969,Satpura TR--Sakot Camp,Madhya Pradesh,2.0,22.47928,77.94695,3,2,2019
5704986340,"Kheiriya, Madhya Pradesh, IN (24.624, 79.983)",Madhya Pradesh,2.0,24.623991,79.9829,10,6,2022
5704973168,"Birding Point, Sasan",Gujarat,1.0,21.170357,70.595535,8,3,2024
5704970401,Kanha NP--Mukki Zone,Madhya Pradesh,1.0,22.158897,80.66334,3,6,2024
5704969833,"Ramdevara Betta, Ramanagara--Ramanagar Climbing Spot",Karnataka,1.0,12.749831,77.302124,18,1,2024
5704901785,Satpura TR--Madai,Madhya Pradesh,1.0,22.558378,78.148094,4,3,2021
5704901705,Ram Sahi crossing,Madhya Pradesh,2.0,22.496717,78.18833,3,3,2021
5704870482,"Kaala Jhaad To Nagmani Turn, Midpoint. -Madhya Pradesh, IN (22.463, 78.358)",Madhya Pradesh,1.0,22.463379,78.357704,3,2,2019
5704776074,Mudumalai NP,Tamil Nadu,,11.556289,76.53261,17,1,2012
5704750098,Tilondi Ghati-Raisen,Madhya Pradesh,2.0,23.134914,77.63523,28,2,2024
5704749946,"Meda Uparla, Rajasthan, IN (25,226, 72,752)",Rajasthan,1.0,25.225565,72.75198,28,2,2024
5704740707,"Bichhiya, Mandla IN-MP 22.33667, 80.60204",Madhya Pradesh,10.0,22.33667,80.60204,18,2,2024
5704681928,Kanha NP--Mukki Zone,Madhya Pradesh,2.0,22.158897,80.66334,1,2,2024
5704637395,"Singhpura Rd, Madhya Pradesh, IN (22.544, 78.246)",Madhya Pradesh,1.0,22.54444,78.24596,3,2,2019
5704550886,"Besala, Madhya Pradesh, IN (24.554, 75.443)",Madhya Pradesh,3.0,24.55393,75.44319,12,3,2022
5704491061,Satpura TR--Ticket Counter Madai,Madhya Pradesh,3.0,22.575954,78.143364,2,2,2019
5704488108,"Banda, Rajasthan, IN (25.054, 75.742)",Rajasthan,,25.053713,75.741646,14,12,2022
5704487505,"Reni Pani Jungle Lodge (22.618, 78.123)",Madhya Pradesh,1.0,22.61831,78.12288,19,2,2023
5704431509,Gandhisagar ,Madhya Pradesh,4.0,24.74972,75.76739,14,12,2017
5704355087,Bandhavgarh NP,Madhya Pradesh,7.0,23.690413,81.01825,5,5,2018
5704217575,"Madhya Pradesh State Highway 31A, Gandhi Sagar Haidel Col, Madhya Pradesh, IN (24.681, 75.581)",Madhya Pradesh,2.0,24.681284,75.58098,1,3,2024
5703974877,Kanha Tiger Reserve,Madhya Pradesh,3.0,22.29545,80.5957,28,2,2024
5703940520,Pachmarhi--Twynam Pool,Madhya Pradesh,4.0,22.478287,78.42485,28,11,2024
5703897920,"Deolali, Maharashtra, IN (19.908, 73.818)",Maharashtra,1.0,19.90774,73.81813,25,11,2024
5703814140,Panna Tiger Reserve--Madla Zone,Madhya Pradesh,4.0,24.690823,79.98951,2,6,2024
5703797064,"Bandhavgarh National Park, Bandhogarh IN-MP 23.69858, 81.03026",Madhya Pradesh,4.0,23.69858,81.03026,1,3,2024
5703752402,"Gandhisagar National Park - (24.694, 75.567)",Madhya Pradesh,36.0,24.693527,75.567474,24,2,2018
5703567545,"Udhagamandalam, The Nilgiris IN-Tamil Nadu 11.54142, 76.64290",Tamil Nadu,2.0,11.541424,76.6429,21,11,2024
5703396688,Bandipur NP--Forest Headquarters,Karnataka,2.0,11.665518,76.62946,5,2,2021
5703346358,Kanha NP--Kanha Zone,Madhya Pradesh,10.0,22.280678,80.62371,1,2,2024
5703294031,Near Rori Camp,Madhya Pradesh,2.0,22.429352,78.34956,3,2,2019
5703089542,"Unnamed Road, Budda, Madhya Pradesh, IN (25.84, 77.619)",Madhya Pradesh,1.0,25.839813,77.619095,22,11,2019
5703066577,Desert NP (DNP) & Surroundings--Sudasari,Rajasthan,2.0,26.722372,70.60445,19,3,2015
5702998825,"Vulture spot on Panna-Satna Road, Chopra, Madhya Pradesh, IN (24.639, 80.306)",Madhya Pradesh,2.0,24.63866,80.306114,4,3,2022
5702936044,"Kadanadu, Tamil Nadu, IN (11.554, 76.684)",Tamil Nadu,1.0,11.553609,76.68421,1,5,2019
5702894546,"Sathpura Tiger Reserve (22.559, 78.132)",Madhya Pradesh,1.0,22.559315,78.1317,20,2,2024
5702768045,"Mehrangarh Fort, Jodhpur",Rajasthan,7.0,26.298801,73.01937,17,11,2012
5702656771,Kanha Tiger Reserve,Madhya Pradesh,3.0,22.29545,80.5957,19,3,2017
5702205472,Kanha NP--Mukki Zone,Madhya Pradesh,1.0,22.158897,80.66334,5,2,2024
5702183530,Auto selected,Madhya Pradesh,5.0,24.656836,75.595184,12,3,2022
5702182489,Ranthambore NP--Zone 6,Rajasthan,8.0,25.979559,76.37622,3,6,2019
5702080282,Ratapani Sanctuary,Madhya Pradesh,1.0,22.925133,77.71574,7,5,2017
5702065483,Orachha,Madhya Pradesh,5.0,25.35186,78.64211,20,1,2019
5701894090,"Padhiyarka/Doliya Road, Madhiya, Gujarat, IN (21.039, 71.68)",Gujarat,4.0,21.039356,71.68028,8,1,2023
5701745928,"Beejoliya, Bhilwara IN-RJ 25.25484, 75.34492",Rajasthan,1.0,25.25484,75.34492,12,11,2023
5701705473,Ram Sahi crossing,Madhya Pradesh,2.0,22.496717,78.18833,3,3,2021
5701703117,"Dondi, Madhya Pradesh, IN (24.538, 79.888)",Madhya Pradesh,8.0,24.53781,79.88821,29,4,2024
5701618745,"Auto selected 24.64359, 80.06043",Madhya Pradesh,1.0,24.643593,80.06043,8,12,2024
5701473719,"Scindia School, Gwalior (OBI)",Madhya Pradesh,2.0,26.217909,78.16595,8,12,2024
5701455638,"Chambal River, Kota IN-RJ 25.13373, 75.73731",Rajasthan,19.0,25.133726,75.737305,8,9,2023
5701414465,"Uchad, Lach, Datia",Madhya Pradesh,22.0,25.882957,78.44038,27,9,2019
5701383587,Kanha NP--Mukki Zone,Madhya Pradesh,3.0,22.158897,80.66334,3,4,2024
5701376848,Gir Interpretation Zone (Devaliya Park),Gujarat,3.0,21.15832,70.510124,15,1,2019
5701351662,"SH 7, Neemuch IN-MP 24.62254, 75.52415",Madhya Pradesh,10.0,24.622541,75.524155,2,3,2024
5701291585,"Madhya Pradesh, IN (22.461, 78.055)",Madhya Pradesh,1.0,22.4613,78.05544,3,2,2019
5701291553,"Jaharghat to Churna  (22.473, 78.061)",Madhya Pradesh,2.0,22.472702,78.06145,3,2,2019
5700921408,The Oberoi Vanyavilas (Restricted),Rajasthan,3.0,26.024231,76.38735,9,2,2024
5700897926,Bandhavgarh Tiger Reserve--Khitauli Gate,Madhya Pradesh,3.0,23.699034,80.97598,22,3,2019
5700825850,Satpura TR--Gutti Baba,Madhya Pradesh,2.0,22.488691,78.069496,5,3,2021
5700820705,Ranthambore NP,Rajasthan,3.0,26.012978,76.503296,25,6,2022
5700723156,Sariska Tiger Reserve--Karna ka Vas,Rajasthan,5.0,27.368265,76.39878,28,5,2022
5700624118,"Deokho, Gwalior, Madhya Pradesh, India",Madhya Pradesh,4.0,26.172554,78.02648,25,9,2015
5700550095,Satpura TR--Ticket Counter Madai,Madhya Pradesh,3.0,22.575954,78.143364,4,2,2021
5700549512,Jodhpur Carcass Dump,Rajasthan,1.0,26.2943,72.89049,17,3,2016
5700538903,"Mendarda - Sasan Gir Road, Surajgadh, Gujarat, IN (21.194, 70.534)",Gujarat,1.0,21.194101,70.53435,10,1,2024
5700538727,Bandhavgarh Tiger Reserve--Tala Gate,Madhya Pradesh,5.0,23.715807,81.02234,13,1,2024
5700450315,"Jaharghat to churna (22.484, 78.034)",Madhya Pradesh,2.0,22.484447,78.033806,3,2,2019
5700426363,Forsyth Lodge,Madhya Pradesh,6.0,22.58632,78.14224,12,9,2024
5700384608,Hiran River,Gujarat,3.0,21.175955,70.58834,24,11,2022
5700364314,"Quiet Corner Camp Center, Mavanalla, Tamil Nadu, IN (11.548, 76.684)",Tamil Nadu,1.0,11.547935,76.68406,2,3,2024
5700296765,"Gandhi Sagar Wildlife Sanctuary, Mandsaur IN-MP 24.66668, 75.65534",Madhya Pradesh,2.0,24.666676,75.65534,3,3,2024
5700256702,"Ramdevara Betta, Ramanagara",Karnataka,1.0,12.752204,77.3003,11,12,2018
5700210165,Kanha Tiger Reserve,Madhya Pradesh,,22.29545,80.5957,16,2,2024
5700197600,Halali Dam,Madhya Pradesh,25.0,23.501427,77.551796,17,12,2024
5700196137,Kewra Reserve Forest,Rajasthan,2.0,24.46357,73.74377,11,1,2024
5700058919,Kanha NP--Kisli Zone,Madhya Pradesh,3.0,22.298626,80.55058,14,2,2024
